Model,Class,Accuracy,F1,Precision,Recall
RandomForest,0,0.9588477366255144,0.9789915966386554,0.9588477366255144,1.0
RandomForest,1,0.9588477366255144,0.0,0.0,0.0
RandomForest,2,0.9588477366255144,0.0,0.0,0.0
SVM,0,0.9588477366255144,0.9789915966386554,0.9588477366255144,1.0
SVM,1,0.9588477366255144,0.0,0.0,0.0
SVM,2,0.9588477366255144,0.0,0.0,0.0
XGBoost,0,0.9588477366255144,0.9789915966386554,0.9588477366255144,1.0
XGBoost,1,0.9588477366255144,0.0,0.0,0.0
XGBoost,2,0.9588477366255144,0.0,0.0,0.0
